,year,Province,Indicator,tourism type,month,tourist_number,mean_value
0,2021,Al Bahah,Overnight Visitors,domestics_tourism,1,1,58295.0
1,2021,Al Bahah,Overnight Visitors,domestics_tourism,2,1,34469.0
2,2021,Al Bahah,Overnight Visitors,domestics_tourism,3,1,64736.0
3,2021,Al Bahah,Overnight Visitors,domestics_tourism,4,1,55486.0
4,2021,Al Bahah,Overnight Visitors,domestics_tourism,5,1,158744.0
5,2021,Al Bahah,Overnight Visitors,domestics_tourism,6,1,95902.0
6,2021,Al Bahah,Overnight Visitors,domestics_tourism,7,1,261898.0
7,2021,Al Bahah,Overnight Visitors,domestics_tourism,8,1,139665.0
8,2021,Al Bahah,Overnight Visitors,domestics_tourism,9,1,56620.0
9,2021,Al Bahah,Overnight Visitors,domestics_tourism,10,1,68976.0
10,2021,Al Bahah,Overnight Visitors,domestics_tourism,11,1,72000.0
11,2021,Al Bahah,Overnight Visitors,domestics_tourism,12,1,33474.0
12,2021,Al Bahah,SAR,domestics_tourism,1,1,75157578.99
13,2021,Al Bahah,SAR,domestics_tourism,2,1,40889284.55
14,2021,Al Bahah,SAR,domestics_tourism,3,1,89759209.56
15,2021,Al Bahah,SAR,domestics_tourism,4,1,58453265.0
16,2021,Al Bahah,SAR,domestics_tourism,5,1,208515699.42
17,2021,Al Bahah,SAR,domestics_tourism,6,1,128893854.82
18,2021,Al Bahah,SAR,domestics_tourism,7,1,387767473.2
19,2021,Al Bahah,SAR,domestics_tourism,8,1,187698315.62
20,2021,Al Bahah,SAR,domestics_tourism,9,1,54266418.0
21,2021,Al Bahah,SAR,domestics_tourism,10,1,72448934.08
22,2021,Al Bahah,SAR,domestics_tourism,11,1,72044390.18
23,2021,Al Bahah,SAR,domestics_tourism,12,1,35285401.35
24,2021,AlQassim,Overnight Visitors,domestics_tourism,1,1,324087.0
25,2021,AlQassim,Overnight Visitors,domestics_tourism,2,1,262738.0
26,2021,AlQassim,Overnight Visitors,domestics_tourism,3,1,266316.0
27,2021,AlQassim,Overnight Visitors,domestics_tourism,4,1,276424.0
28,2021,AlQassim,Overnight Visitors,domestics_tourism,5,1,433533.0
29,2021,AlQassim,Overnight Visitors,domestics_tourism,6,1,241182.0
30,2021,AlQassim,Overnight Visitors,domestics_tourism,7,1,448717.0
31,2021,AlQassim,Overnight Visitors,domestics_tourism,8,1,287146.0
32,2021,AlQassim,Overnight Visitors,domestics_tourism,9,1,286350.0
33,2021,AlQassim,Overnight Visitors,domestics_tourism,10,1,280028.0
34,2021,AlQassim,Overnight Visitors,domestics_tourism,11,1,428167.0
35,2021,AlQassim,Overnight Visitors,domestics_tourism,12,1,233187.0
36,2021,AlQassim,SAR,domestics_tourism,1,1,329434917.29
37,2021,AlQassim,SAR,domestics_tourism,2,1,249390131.79
38,2021,AlQassim,SAR,domestics_tourism,3,1,235674680.71
39,2021,AlQassim,SAR,domestics_tourism,4,1,278059083.9
40,2021,AlQassim,SAR,domestics_tourism,5,1,509212357.01
41,2021,AlQassim,SAR,domestics_tourism,6,1,254932378.37
42,2021,AlQassim,SAR,domestics_tourism,7,1,533813219.12
43,2021,AlQassim,SAR,domestics_tourism,8,1,340903072.14
44,2021,AlQassim,SAR,domestics_tourism,9,1,283666243.79
45,2021,AlQassim,SAR,domestics_tourism,10,1,219156493.55
46,2021,AlQassim,SAR,domestics_tourism,11,1,427642996.12
47,2021,AlQassim,SAR,domestics_tourism,12,1,215355649.85
48,2021,AlQassim Province,Overnight Visitors,inbound_tourism,1,1,301.0
49,2021,AlQassim Province,Overnight Visitors,inbound_tourism,2,1,1148.0
50,2021,AlQassim Province,Overnight Visitors,inbound_tourism,3,1,21503.0
