Date;Indicator;Province;Value
2023-01;Tourists Number (Overnight Visitors);Al Bahah;39183.0
2022-02;Tourists Number (Overnight Visitors);Al Bahah;37792.0
2023-05;Tourists Number (Overnight Visitors);Al Bahah;60160.0
2021-09;Tourists Number (Overnight Visitors);Al Bahah;56620.0
2022-10;Tourists Number (Overnight Visitors);Al Bahah;31937.0
2022-11;Tourists Number (Overnight Visitors);Al Bahah;34633.0
2022-12;Tourists Number (Overnight Visitors);Al Bahah;20168.0
2021-02;Tourists Number (Overnight Visitors);AlQassim;262738.0
2022-03;Tourists Number (Overnight Visitors);AlQassim;351766.0
2021-05;Tourists Number (Overnight Visitors);AlQassim;433533.0
2023-07;Tourists Number (Overnight Visitors);AlQassim;384155.0
2021-09;Tourists Number (Overnight Visitors);AlQassim;286350.0
2022-10;Tourists Number (Overnight Visitors);AlQassim;189074.0
2023-12;Tourists Number (Overnight Visitors);AlQassim;334759.0
2021-02;Tourists Number (Overnight Visitors);Aseer;382596.0
2021-03;Tourists Number (Overnight Visitors);Aseer;314178.0
2021-04;Tourists Number (Overnight Visitors);Aseer;391049.0
2023-05;Tourists Number (Overnight Visitors);Aseer;413729.0
2022-08;Tourists Number (Overnight Visitors);Aseer;745729.0
2023-08;Tourists Number (Overnight Visitors);Aseer;646052.0
2021-09;Tourists Number (Overnight Visitors);Aseer;309502.0
2022-09;Tourists Number (Overnight Visitors);Aseer;278697.0
2022-03;Tourists Number (Overnight Visitors);Eastern Province;958961.0
2023-06;Tourists Number (Overnight Visitors);Eastern Province;1395174.0
2022-07;Tourists Number (Overnight Visitors);Eastern Province;1146011.0
2022-11;Tourists Number (Overnight Visitors);Eastern Province;1058265.0
2021-12;Tourists Number (Overnight Visitors);Eastern Province;709001.0
2021-01;Tourists Number (Overnight Visitors);Hail;177308.0
2023-02;Tourists Number (Overnight Visitors);Hail;127236.0
2021-03;Tourists Number (Overnight Visitors);Hail;119169.0
2021-04;Tourists Number (Overnight Visitors);Hail;103228.0
2021-05;Tourists Number (Overnight Visitors);Hail;200512.0
2022-05;Tourists Number (Overnight Visitors);Hail;165272.0
2021-07;Tourists Number (Overnight Visitors);Hail;246875.0
2022-08;Tourists Number (Overnight Visitors);Hail;169923.0
2023-08;Tourists Number (Overnight Visitors);Hail;134874.0
2023-10;Tourists Number (Overnight Visitors);Hail;124394.0
2023-01;Tourists Number (Overnight Visitors);Jazan;374146.0
2023-06;Tourists Number (Overnight Visitors);Jazan;152348.0
2021-07;Tourists Number (Overnight Visitors);Jazan;264803.0
2023-12;Tourists Number (Overnight Visitors);Jazan;204674.0
2023-01;Tourists Number (Overnight Visitors);Jouf;74255.0
2023-02;Tourists Number (Overnight Visitors);Jouf;79146.0
2023-03;Tourists Number (Overnight Visitors);Jouf;97938.0
2022-06;Tourists Number (Overnight Visitors);Jouf;75748.0
2023-06;Tourists Number (Overnight Visitors);Jouf;140792.0
2022-07;Tourists Number (Overnight Visitors);Jouf;165665.0
2023-07;Tourists Number (Overnight Visitors);Jouf;100025.0
2021-08;Tourists Number (Overnight Visitors);Jouf;65821.0
2022-10;Tourists Number (Overnight Visitors);Jouf;102999.0
2023-01;Tourists Number (Overnight Visitors);Madinah;424782.0
2023-05;Tourists Number (Overnight Visitors);Madinah;353315.0
2021-07;Tourists Number (Overnight Visitors);Madinah;503309.0
2021-08;Tourists Number (Overnight Visitors);Madinah;325546.0
2022-08;Tourists Number (Overnight Visitors);Madinah;539423.0
2023-08;Tourists Number (Overnight Visitors);Madinah;525512.0
2021-09;Tourists Number (Overnight Visitors);Madinah;285685.0
2023-09;Tourists Number (Overnight Visitors);Madinah;454869.0
2023-10;Tourists Number (Overnight Visitors);Madinah;444321.0
2021-12;Tourists Number (Overnight Visitors);Madinah;349375.0
2021-02;Tourists Number (Overnight Visitors);Makkah;1233271.0
2022-02;Tourists Number (Overnight Visitors);Makkah;1790593.0
2021-06;Tourists Number (Overnight Visitors);Makkah;1195801.0
2023-06;Tourists Number (Overnight Visitors);Makkah;2726540.0
