Date;Indicator;Province;Destination;value
2021-March;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;31.0
2023-May;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;1188.0
2023-October;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;1703.0
2022-November;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;123.14679255048655
2023-November;Tourists Number (Overnight Visitors);Albaha province;Al Bahah;415.0
year-February;Tourists Number (Overnight Visitors);Albaha province;BILJURASHI;
year-November;Tourists Number (Overnight Visitors);Albaha province;BILJURASHI;
year-April;Tourists Number (Overnight Visitors);Albaha province;Other AlBaha;
2023-January;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;4158.0
2021-March;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;21503.0
2022-April;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;2411.0
2021-July;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;437.0
2022-July;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;1137.0
2023-September;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;13490.0
2023-October;Tourists Number (Overnight Visitors);AlQassim Province;Buraydah;3163.0
2023-March;Tourists Number (Overnight Visitors);AlQassim Province;Rass;259.0
2021-June;Tourists Number (Overnight Visitors);AlQassim Province;Rass;232.0
2023-September;Tourists Number (Overnight Visitors);AlQassim Province;Rass;320.0
2023-March;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;7443.0
2021-May;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;266.0
2022-June;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;743.0
2021-August;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;1068.0
2022-August;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;4254.0
2023-August;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;232.0
2022-September;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;401.0
2021-December;Tourists Number (Overnight Visitors);AlQassim Province;Unayzah;946.0
2022-January;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2022-February;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2023-May;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;0.0
2021-June;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;33.0
2022-June;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;141.0
2023-August;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;6.0
2023-December;Tourists Number (Overnight Visitors);AlQassim Province;Other AlQassim;562.0
2023-January;Tourists Number (Overnight Visitors);Aseer Province;Abha;4206.0
2022-February;Tourists Number (Overnight Visitors);Aseer Province;Abha;4.0
2021-March;Tourists Number (Overnight Visitors);Aseer Province;Abha;624.0
2021-April;Tourists Number (Overnight Visitors);Aseer Province;Abha;580.0
2021-June;Tourists Number (Overnight Visitors);Aseer Province;Abha;7.0
2021-December;Tourists Number (Overnight Visitors);Aseer Province;Abha;7309.0
2022-May;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;130.0
2022-July;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;120.0
2023-July;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;2616.0
2022-August;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;34.0
2023-August;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;3119.0
2021-September;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;92.0
2022-December;Tourists Number (Overnight Visitors);Aseer Province;Khamis Mushait;14573.0
2022-January;Tourists Number (Overnight Visitors);Aseer Province;Other Aseer;1.0
