,Indicator,Province,value,year,month,tourism type
0,Tourists Number (Overnight Visitors),Albaha province,31.0,2021,3,inbound_tourism
1,Tourists Number (Overnight Visitors),Albaha province,1188.0,2023,5,inbound_tourism
2,Tourists Number (Overnight Visitors),Albaha province,1703.0,2023,10,inbound_tourism
3,Tourists Number (Overnight Visitors),Albaha province,123.14679255048657,2022,11,inbound_tourism
4,Tourists Number (Overnight Visitors),Albaha province,415.0,2023,11,inbound_tourism
5,Tourists Number (Overnight Visitors),AlQassim Province,4158.0,2023,1,inbound_tourism
6,Tourists Number (Overnight Visitors),AlQassim Province,21503.0,2021,3,inbound_tourism
7,Tourists Number (Overnight Visitors),AlQassim Province,2411.0,2022,4,inbound_tourism
8,Tourists Number (Overnight Visitors),AlQassim Province,437.0,2021,7,inbound_tourism
9,Tourists Number (Overnight Visitors),AlQassim Province,1137.0,2022,7,inbound_tourism
10,Tourists Number (Overnight Visitors),AlQassim Province,13490.0,2023,9,inbound_tourism
11,Tourists Number (Overnight Visitors),AlQassim Province,3163.0,2023,10,inbound_tourism
12,Tourists Number (Overnight Visitors),AlQassim Province,259.0,2023,3,inbound_tourism
13,Tourists Number (Overnight Visitors),AlQassim Province,232.0,2021,6,inbound_tourism
14,Tourists Number (Overnight Visitors),AlQassim Province,320.0,2023,9,inbound_tourism
15,Tourists Number (Overnight Visitors),AlQassim Province,7443.0,2023,3,inbound_tourism
16,Tourists Number (Overnight Visitors),AlQassim Province,266.0,2021,5,inbound_tourism
17,Tourists Number (Overnight Visitors),AlQassim Province,743.0,2022,6,inbound_tourism
18,Tourists Number (Overnight Visitors),AlQassim Province,1068.0,2021,8,inbound_tourism
19,Tourists Number (Overnight Visitors),AlQassim Province,4254.0,2022,8,inbound_tourism
20,Tourists Number (Overnight Visitors),AlQassim Province,232.0,2023,8,inbound_tourism
21,Tourists Number (Overnight Visitors),AlQassim Province,401.0,2022,9,inbound_tourism
22,Tourists Number (Overnight Visitors),AlQassim Province,946.0,2021,12,inbound_tourism
23,Tourists Number (Overnight Visitors),AlQassim Province,0.0,2022,1,inbound_tourism
24,Tourists Number (Overnight Visitors),AlQassim Province,0.0,2022,2,inbound_tourism
25,Tourists Number (Overnight Visitors),AlQassim Province,0.0,2023,5,inbound_tourism
26,Tourists Number (Overnight Visitors),AlQassim Province,33.0,2021,6,inbound_tourism
27,Tourists Number (Overnight Visitors),AlQassim Province,141.0,2022,6,inbound_tourism
28,Tourists Number (Overnight Visitors),AlQassim Province,6.0,2023,8,inbound_tourism
29,Tourists Number (Overnight Visitors),AlQassim Province,562.0,2023,12,inbound_tourism
30,Tourists Number (Overnight Visitors),Aseer Province,4206.0,2023,1,inbound_tourism
31,Tourists Number (Overnight Visitors),Aseer Province,4.0,2022,2,inbound_tourism
32,Tourists Number (Overnight Visitors),Aseer Province,624.0,2021,3,inbound_tourism
